#     TIME       MAGNITUDE    ERROR      PHASE        MODEL      (O-C)
   1392.047897   10.501494  -1.000000   0.01306044  10.500003   0.001491
   1392.049286   10.501756  -1.000000   0.01311359  10.500003   0.001752
   1392.050675   10.499759  -1.000000   0.01316674  10.500003  -0.000244
   1392.052064   10.501801  -1.000000   0.01321990  10.500003   0.001797
   1392.053453   10.502015  -1.000000   0.01327305  10.500003   0.002012
   1392.054842   10.502086  -1.000000   0.01332620  10.500003   0.002083
   1392.056231   10.500391  -1.000000   0.01337935  10.500003   0.000388
   1392.057620   10.500017  -1.000000   0.01343250  10.500003   0.000013
   1392.059009   10.500735  -1.000000   0.01348565  10.500003   0.000732
   1392.060397   10.501483  -1.000000   0.01353880  10.500003   0.001479
   1392.061786   10.499778  -1.000000   0.01359195  10.500003  -0.000225
   1392.063175   10.499989  -1.000000   0.01364511  10.500003  -0.000014
   1392.064564   10.500042  -1.000000   0.01369826  10.500003   0.000039
   1392.065953   10.501168  -1.000000   0.01375141  10.500003   0.001165
   1392.067342   10.500479  -1.000000   0.01380456  10.500003   0.000476
   1392.068731   10.501809  -1.000000   0.01385771  10.500003   0.001805
   1392.070120   10.500492  -1.000000   0.01391086  10.500003   0.000489
   1392.071509   10.498582  -1.000000   0.01396401  10.500003  -0.001421
   1392.072898   10.499648  -1.000000   0.01401716  10.500003  -0.000355
   1392.074287   10.499353  -1.000000   0.01407031  10.500003  -0.000651
   1392.075676   10.499795  -1.000000   0.01412347  10.500003  -0.000208
   1392.077064   10.500311  -1.000000   0.01417662  10.500003   0.000307
   1392.078453   10.500902  -1.000000   0.01422977  10.500003   0.000899
   1392.081231   10.500510  -1.000000   0.01433607  10.500003   0.000507
   1392.082620   10.499582  -1.000000   0.01438922  10.500003  -0.000422
   1392.084009   10.499164  -1.000000   0.01444237  10.500003  -0.000839
   1392.085398   10.500616  -1.000000   0.01449552  10.500003   0.000612
   1392.086787   10.499082  -1.000000   0.01454868  10.500003  -0.000922
   1392.088176   10.501987  -1.000000   0.01460183  10.500003   0.001983
   1392.089565   10.500084  -1.000000   0.01465498  10.500003   0.000081
   1392.090954   10.499225  -1.000000   0.01470813  10.500003  -0.000778
   1392.092342   10.500574  -1.000000   0.01476128  10.500003   0.000571
   1392.093731   10.500421  -1.000000   0.01481443  10.500003   0.000418
   1392.095120   10.498861  -1.000000   0.01486758  10.500003  -0.001143
   1392.096509   10.499785  -1.000000   0.01492073  10.500003  -0.000218
   1392.097898   10.499852  -1.000000   0.01497389  10.500003  -0.000151
   1392.099287   10.500194  -1.000000   0.01502704  10.500003   0.000190
   1392.100676   10.498226  -1.000000   0.01508019  10.500003  -0.001777
   1392.102065   10.498727  -1.000000   0.01513334  10.500003  -0.001276
   1392.103454   10.499892  -1.000000   0.01518649  10.500003  -0.000111
   1392.106232   10.501577  -1.000000   0.01529279  10.500003   0.001574
   1392.107621   10.500621  -1.000000   0.01534594  10.500003   0.000617
   1392.109009   10.499579  -1.000000   0.01539910  10.500003  -0.000424
   1392.110398   10.500508  -1.000000   0.01545225  10.500003   0.000505
   1392.111787   10.499266  -1.000000   0.01550540  10.500003  -0.000737
   1392.113176   10.501310  -1.000000   0.01555855  10.500003   0.001306
   1392.114565   10.500214  -1.000000   0.01561170  10.500003   0.000211
   1392.115954   10.500350  -1.000000   0.01566485  10.500003   0.000346
   1392.117343   10.501540  -1.000000   0.01571800  10.500003   0.001537
   1392.118732   10.499679  -1.000000   0.01577115  10.500003  -0.000324
   1392.120121   10.498099  -1.000000   0.01582430  10.500003  -0.001904
   1392.121510   10.501929  -1.000000   0.01587746  10.500003   0.001926
   1392.122899   10.500100  -1.000000   0.01593061  10.500003   0.000097
   1392.124287   10.500669  -1.000000   0.01598376  10.500003   0.000665
   1392.125676   10.499367  -1.000000   0.01603691  10.500003  -0.000636
   1392.127065   10.501796  -1.000000   0.01609006  10.500003   0.001792
   1392.128454   10.499883  -1.000000   0.01614321  10.500003  -0.000120
   1392.129843   10.498205  -1.000000   0.01619636  10.500003  -0.001798
   1392.131232   10.498897  -1.000000   0.01624951  10.500003  -0.001107
   1392.132621   10.499682  -1.000000   0.01630267  10.500003  -0.000321
   1392.134010   10.500645  -1.000000   0.01635582  10.500003   0.000642
   1392.135399   10.500998  -1.000000   0.01640897  10.500003   0.000994
   1392.136788   10.499601  -1.000000   0.01646212  10.500003  -0.000402
   1392.138177   10.500200  -1.000000   0.01651527  10.500003   0.000197
   1392.139566   10.499757  -1.000000   0.01656842  10.500003  -0.000247
   1392.140954   10.500057  -1.000000   0.01662157  10.500003   0.000054
   1392.142343   10.498225  -1.000000   0.01667472  10.500003  -0.001778
   1392.143732   10.500826  -1.000000   0.01672788  10.500003   0.000822
   1392.145121   10.501083  -1.000000   0.01678103  10.500003   0.001079
   1392.147899   10.500596  -1.000000   0.01688733  10.500003   0.000592
   1392.149288   10.498536  -1.000000   0.01694048  10.500003  -0.001467
   1392.150677   10.500612  -1.000000   0.01699363  10.500003   0.000608
   1392.152066   10.498996  -1.000000   0.01704678  10.500003  -0.001007
   1392.153455   10.500232  -1.000000   0.01709993  10.500003   0.000229
   1392.154844   10.502176  -1.000000   0.01715309  10.500003   0.002173
   1392.156232   10.498787  -1.000000   0.01720624  10.500003  -0.001217
   1392.157621   10.499867  -1.000000   0.01725939  10.500003  -0.000136
   1392.159010   10.499295  -1.000000   0.01731254  10.500003  -0.000709
   1392.160399   10.500479  -1.000000   0.01736569  10.500003   0.000476
   1392.161788   10.500266  -1.000000   0.01741884  10.500003   0.000262
   1392.163177   10.500719  -1.000000   0.01747199  10.500003   0.000716
   1392.164566   10.499281  -1.000000   0.01752514  10.500003  -0.000722
   1392.165955   10.499347  -1.000000   0.01757829  10.500003  -0.000656
   1392.167344   10.500021  -1.000000   0.01763145  10.500003   0.000018
   1392.168733   10.500162  -1.000000   0.01768460  10.500003   0.000159
   1392.170122   10.499952  -1.000000   0.01773775  10.500003  -0.000051
   1392.171511   10.501005  -1.000000   0.01779090  10.500003   0.001002
   1392.172899   10.499422  -1.000000   0.01784405  10.500003  -0.000581
   1392.174288   10.500608  -1.000000   0.01789720  10.500003   0.000605
   1392.175677   10.500667  -1.000000   0.01795035  10.500003   0.000664
   1392.177066   10.501106  -1.000000   0.01800350  10.500003   0.001103
   1392.178455   10.498603  -1.000000   0.01805666  10.500003  -0.001400
   1392.179844   10.503052  -1.000000   0.01810981  10.500003   0.003049
   1392.181233   10.500620  -1.000000   0.01816296  10.500003   0.000617
   1392.182622   10.499438  -1.000000   0.01821611  10.500003  -0.000565
   1392.184011   10.500064  -1.000000   0.01826926  10.500003   0.000060
   1392.185400   10.500721  -1.000000   0.01832241  10.500003   0.000718
   1392.186789   10.502109  -1.000000   0.01837556  10.500003   0.002106
   1392.188177   10.498929  -1.000000   0.01842871  10.500003  -0.001075
   1392.189566   10.500862  -1.000000   0.01848187  10.500003   0.000858
   1392.190955   10.499728  -1.000000   0.01853502  10.500003  -0.000275
   1392.192344   10.498858  -1.000000   0.01858817  10.500003  -0.001145
   1392.193733   10.500433  -1.000000   0.01864132  10.500003   0.000430
   1392.195122   10.498910  -1.000000   0.01869447  10.500003  -0.001093
   1392.196511   10.496546  -1.000000   0.01874762  10.500003  -0.003457
   1392.197900   10.501876  -1.000000   0.01880077  10.500003   0.001873
